tcga_code,n_pairs,n_genes_input,n_genes_retained,retained_fraction,design_rank,design_columns,organ,tier
BLCA,19,60660,19230,0.31701285855588524,20,20,bladder,Tier1
BRCA,113,60660,21606,0.35618199802176065,114,114,breast,Tier1
COAD,41,60660,19586,0.32288163534454334,42,42,colon,Tier1
ESCA,13,60660,23617,0.38933399274645564,14,14,esophagus,Tier1
HNSC,43,60660,19282,0.31787009561490276,44,44,head and neck,Tier1
KICH,25,60660,20983,0.34591163864160895,26,26,kidney,Tier1
KIRC,72,60660,21158,0.3487965710517639,73,73,kidney,Tier1
KIRP,32,60660,21197,0.34943949884602704,33,33,kidney,Tier1
LIHC,50,60660,17611,0.29032311242993736,51,51,liver,Tier1
LUAD,58,60660,19566,0.3225519287833828,59,59,lung,Tier1
LUSC,51,60660,21725,0.358143752060666,52,52,lung,Tier1
PRAD,52,60660,21013,0.3464061984833498,53,53,prostate,Tier1
STAD,33,60660,21928,0.36149027365644576,34,34,stomach,Tier1
THCA,59,60660,21534,0.3549950544015826,60,60,thyroid,Tier1
