tcga_code,organ,gene,n_pairs,analysis_status,logFC,q_value_global,robust_count_level_change,count_level_interpretation
BLCA,bladder,MAOB,19,primary_count_level,-3.6551076823365953,2.408726965367572e-6,TRUE,loss
BLCA,bladder,CYP3A4,19,low_expression_not_estimable,,,FALSE,not_estimable_primary
BLCA,bladder,CYP3A5,19,primary_count_level,-1.2830907099126683,0.0055544870091684085,TRUE,loss
BLCA,bladder,CYP3A7,19,low_expression_not_estimable,,,FALSE,not_estimable_primary
BLCA,bladder,CYP3A43,19,low_expression_not_estimable,,,FALSE,not_estimable_primary
BRCA,breast,MAOB,113,primary_count_level,-2.1583680889801524,1.8261830203645057e-15,TRUE,loss
BRCA,breast,CYP3A4,113,primary_count_level,-2.1904094810539343,1.2817991920956362e-17,TRUE,loss
BRCA,breast,CYP3A5,113,primary_count_level,-0.2904503092437013,1.9223618166368217e-5,FALSE,not_robust
BRCA,breast,CYP3A7,113,low_expression_not_estimable,,,FALSE,not_estimable_primary
BRCA,breast,CYP3A43,113,low_expression_not_estimable,,,FALSE,not_estimable_primary
COAD,colon,MAOB,41,primary_count_level,-2.70789628870493,2.2821321043337606e-11,TRUE,loss
COAD,colon,CYP3A4,41,primary_count_level,-2.9215306840079713,2.02226403759278e-6,TRUE,loss
COAD,colon,CYP3A5,41,primary_count_level,-0.19820252968770222,0.3108965890552016,FALSE,not_robust
COAD,colon,CYP3A7,41,low_expression_not_estimable,,,FALSE,not_estimable_primary
COAD,colon,CYP3A43,41,low_expression_not_estimable,,,FALSE,not_estimable_primary
ESCA,esophagus,MAOB,13,primary_count_level,-1.447021388863092,0.015333955956296618,TRUE,loss
ESCA,esophagus,CYP3A4,13,primary_count_level,-0.41440373079989606,0.5029313538733636,FALSE,not_robust
ESCA,esophagus,CYP3A5,13,primary_count_level,-0.39199569808975593,0.38100015054232966,FALSE,not_robust
ESCA,esophagus,CYP3A7,13,low_expression_not_estimable,,,FALSE,not_estimable_primary
ESCA,esophagus,CYP3A43,13,low_expression_not_estimable,,,FALSE,not_estimable_primary
HNSC,head and neck,MAOB,43,primary_count_level,-2.195766243935843,5.389883586837028e-7,TRUE,loss
HNSC,head and neck,CYP3A4,43,low_expression_not_estimable,,,FALSE,not_estimable_primary
HNSC,head and neck,CYP3A5,43,primary_count_level,-2.3227847652088953,1.1782339585963815e-11,TRUE,loss
HNSC,head and neck,CYP3A7,43,low_expression_not_estimable,,,FALSE,not_estimable_primary
HNSC,head and neck,CYP3A43,43,low_expression_not_estimable,,,FALSE,not_estimable_primary
KICH,kidney,MAOB,25,primary_count_level,-4.277630302455459,1.0040206866003845e-6,TRUE,loss
KICH,kidney,CYP3A4,25,primary_count_level,1.782107097062945,0.03165345117844219,TRUE,gain
KICH,kidney,CYP3A5,25,primary_count_level,-0.09704918525757157,0.7167078712338939,FALSE,not_robust
