tcga_code,n_identity_candidates,n_identity_genes,identity_median_logFC,identity_mean_logFC,identity_fraction_loss_threshold,identity_status,organ
BRCA,2021,200,-1.4125033553336415,-1.5761665221353407,0.62,estimable,breast
COAD,1693,200,-1.6005861034075977,-2.0196623629972454,0.7,estimable,colon
ESCA,1265,200,-1.7066601168073774,-1.8004146123894522,0.82,estimable,esophagus
KICH,1170,200,-5.908812657380793,-4.602268060594477,0.8,estimable,kidney
KIRC,1192,200,-2.109952254804041,-2.9752703481007874,0.7,estimable,kidney
KIRP,1192,200,-2.7633279662687773,-3.642249980208576,0.78,estimable,kidney
LIHC,1258,200,-2.462676530472175,-2.5622300628556616,0.945,estimable,liver
LUAD,3434,200,-1.5696154860653153,-1.6856917473047264,0.71,estimable,lung
LUSC,3460,200,-2.8888016259025955,-2.842180477581548,0.825,estimable,lung
PRAD,2272,200,0.0962317907807814,-0.1048396067688462,0.36,estimable,prostate
STAD,1022,200,-0.46553715752626224,-0.8539472221966585,0.455,estimable,stomach
THCA,3379,200,-0.5088824303757851,-0.9563057085513365,0.475,estimable,thyroid
