tcga_code,gene_id,gene_symbol,baseline_tpm,organ_specificity_log2,logFC,p_value,q_value_project
BRCA,ENSG00000181092,ADIPOQ,203.306,9.845666102170766,-5.801774581472046,1.3341377042128542e-24,1.4369580875983513e-23
BRCA,ENSG00000110484,SCGB2A2,76.2597,8.94484019640137,-1.27676950033238,0.012577356629527402,0.01719804868916961
BRCA,ENSG00000187288,CIDEC,331.192,8.468483143035359,-6.128758727786392,6.829526944029461e-29,1.1957760060996802e-27
BRCA,ENSG00000128422,KRT17,400.909,8.295003447028915,-3.141043119608084,3.8257219038571997e-16,1.7856674757990634e-15
BRCA,ENSG00000170323,FABP4,4592.12,8.029309846715831,-5.701704180184377,3.3251388514365644e-30,6.874923447285972e-29
BRCA,ENSG00000184811,TRARG1,69.3629,7.7915160460345,-6.01897333075147,3.419352329434707e-27,4.8926176443553826e-26
BRCA,ENSG00000186847,KRT14,356.42,7.726602592345162,-3.996950858054967,9.157131151353133e-21,6.619236388629501e-20
BRCA,ENSG00000173432,SAA1,933.044,7.635178034458901,-4.425754567692201,1.2625350755758646e-30,2.772376397891644e-29
BRCA,ENSG00000174697,LEP,38.384,7.515614648914825,-6.949803107597585,1.1661014660823028e-31,2.960609668175586e-30
BRCA,ENSG00000176194,CIDEA,49.468,7.5086988781336075,-5.506013566363447,1.2136842069715941e-26,1.626728348376443e-25
BRCA,ENSG00000151365,THRSP,51.9017,7.327802181321256,-3.201814795555297,1.2566538625058386e-18,7.4042168948189665e-18
BRCA,ENSG00000134258,VTCN1,22.9734,7.312279852333288,-0.7467032280161862,0.015082123308990588,0.020445749542856734
BRCA,ENSG00000159763,PIP,39.8193,7.234133863990705,-2.0737471393966085,4.385972815237911e-5,7.709349873578776e-5
BRCA,ENSG00000156284,CLDN8,14.5235,7.192144838159966,-2.5505763463700966,1.4856073574005345e-15,6.555995815465778e-15
BRCA,ENSG00000171346,KRT15,51.3554,7.143244191865352,-2.8763580975025036,5.4707048323423974e-14,2.092036258541413e-13
BRCA,ENSG00000172551,MUCL1,22.062,6.83686772126084,-3.642528332646058,2.2498314384582623e-11,6.818608228268931e-11
BRCA,ENSG00000160862,AZGP1,490.613,6.801524005283886,-0.009162644974269803,0.966651797000514,0.9704697145110871
BRCA,ENSG00000166819,PLIN1,309.817,6.766211980471896,-5.600093426989948,8.099259059904937e-31,1.8285537225528324e-29
BRCA,ENSG00000163435,ELF3,51.571,6.731656650305172,0.6885885595325849,0.0013383859794533026,0.002034414483753205
BRCA,ENSG00000134339,SAA2,53.6186,6.599493484756746,-3.6753266284918396,2.9212886531180125e-25,3.397059345493422e-24
BRCA,ENSG00000094755,GABRP,21.2352,6.582754896473234,-3.4287645952640124,9.834248934723457e-17,4.837859346166553e-16
BRCA,ENSG00000124935,SCGB1D2,70.0181,6.574572566488757,-1.1238061920648477,0.014082481260727185,0.01915068543046775
