tcga_code,gene,gene_id,n_pairs,logFC,AveExpr,t,p_value,q_value_project,B,mean_normal_logcpm,mean_tumor_logcpm,analysis_status,organ,mapping_valid_for_baseline_model,mapping_note,reserved,q_value_global,passes_statistical_screen,passes_effect_screen,robust_count_level_change,count_level_interpretation,identity_median_logFC,n_identity_genes,identity_status,residual_vs_identity,more_negative_than_identity
BRCA,MAOB,ENSG00000069535,113,-2.1583680889801524,6.227761945143184,-9.639527416645265,1.6987749026646565e-16,8.178193080876241e-16,26.279654381772104,7.420691803259547,5.034832087026823,primary_count_level,breast,TRUE,Direct organ mapping,FALSE,1.8261830203645057e-15,TRUE,TRUE,TRUE,loss,-1.4125033553336415,200,estimable,-0.745864733646511,TRUE
BRCA,CYP3A4,ENSG00000160868,113,-2.1904094810539343,-2.794573457986352,-10.807386262914687,2.9809283537107817e-19,1.8679216360288616e-18,33.18189088282568,-1.6494149902328261,-3.9397319257398817,primary_count_level,breast,TRUE,Direct organ mapping,FALSE,1.2817991920956362e-17,TRUE,TRUE,TRUE,loss,-1.4125033553336415,200,estimable,-0.7779061257202928,TRUE
BRCA,CYP3A5,ENSG00000106258,113,-0.2904503092437013,2.373717781337451,-4.583217380273701,1.1623583077338923e-5,2.155145764772889e-5,1.9970041452854375,2.521356275977924,2.2260792866969745,primary_count_level,breast,TRUE,Direct organ mapping,FALSE,1.9223618166368217e-5,TRUE,FALSE,FALSE,not_robust,-1.4125033553336415,200,estimable,1.12205304608994,FALSE
BRCA,CYP3A7,ENSG00000160870,113,,,,,,,,,low_expression_not_estimable,breast,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-1.4125033553336415,200,estimable,,FALSE
BRCA,CYP3A43,ENSG00000021461,113,,,,,,,,,low_expression_not_estimable,breast,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-1.4125033553336415,200,estimable,,FALSE
COAD,MAOB,ENSG00000069535,41,-2.70789628870493,3.317840451792747,-9.274382885107578,5.3072839635668855e-12,4.8710620295417534e-11,16.861051798636684,4.7025312013267255,1.933149702258766,primary_count_level,colon,TRUE,Colon subregions pooled,FALSE,2.2821321043337606e-11,TRUE,TRUE,TRUE,loss,-1.6005861034075977,200,estimable,-1.1073101852973324,TRUE
COAD,CYP3A4,ENSG00000160868,41,-2.9215306840079713,-0.3383525648444307,-5.650221051826628,1.0346467169079338e-6,3.2475305444485244e-6,4.983588001210732,0.9983408190643468,-1.6750459487532083,primary_count_level,colon,TRUE,Colon subregions pooled,FALSE,2.02226403759278e-6,TRUE,TRUE,TRUE,loss,-1.6005861034075977,200,estimable,-1.3209445806003737,TRUE
COAD,CYP3A5,ENSG00000106258,41,-0.19820252968770222,5.602629035813597,-1.0889258863684386,0.281975976119834,0.3335214365772733,-7.242117861796573,5.720869585517818,5.484388486109378,primary_count_level,colon,TRUE,Colon subregions pooled,FALSE,0.3108965890552016,FALSE,FALSE,FALSE,not_robust,-1.6005861034075977,200,estimable,1.4023835737198955,FALSE
COAD,CYP3A7,ENSG00000160870,41,,,,,,,,,low_expression_not_estimable,colon,TRUE,Colon subregions pooled,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-1.6005861034075977,200,estimable,,FALSE
COAD,CYP3A43,ENSG00000021461,41,,,,,,,,,low_expression_not_estimable,colon,TRUE,Colon subregions pooled,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-1.6005861034075977,200,estimable,,FALSE
