background_gene_id,background_gene_symbol,n_coverage,covered_cancers,n_loss,loss_fraction,n_gain,gain_fraction,median_logFC,mean_logFC,mean_matching_distance,maximum_matching_distance,target_gene,n_target_cancers,coverage_fraction,eligible_primary_null
ENSG00000099864,PALM,11,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD;THCA,9,0.8181818181818182,1,0.09090909090909091,-1.3498089323594773,-1.0469694109063599,0.7784893655351008,1.8384723018247617,MAOB,12,0.9166666666666666,TRUE
ENSG00000169439,SDC2,11,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,6,0.5454545454545454,1,0.09090909090909091,-0.6266973638144793,-0.3996610422638728,0.5445605473601256,0.8746067162094626,MAOB,12,0.9166666666666666,TRUE
ENSG00000102038,SMARCA1,11,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,4,0.36363636363636365,0,0,-0.5211635430384505,-0.45691631260214904,0.8554625416689762,1.5213860122614653,MAOB,12,0.9166666666666666,TRUE
ENSG00000180398,MCFD2,11,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,0,0,0,0,-0.08366687312465469,0.046995814636767996,0.6547966964235498,1.0532258813586317,MAOB,12,0.9166666666666666,TRUE
ENSG00000131669,NINJ1,11,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,0,0,0,0,3.3233450461998707e-4,0.08162826331512095,0.7386690080098499,1.2265415564385713,MAOB,12,0.9166666666666666,TRUE
ENSG00000149187,CELF1,11,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,0,0,0,0,0.1657000006861403,0.14261779784540085,0.9300460650951021,1.509102121570418,MAOB,12,0.9166666666666666,TRUE
ENSG00000196365,LONP1,11,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,0,0,3,0.2727272727272727,0.36522275063068743,0.47435112344524116,0.6608568176692293,1.099433078138074,MAOB,12,0.9166666666666666,TRUE
ENSG00000162407,PLPP3,10,COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,8,0.8,0,0,-1.0308227492549453,-0.8943454903518571,0.6504436851843501,1.1950262086928722,MAOB,12,0.8333333333333334,TRUE
ENSG00000189241,TSPYL1,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,5,0.5,0,0,-0.5158480619186658,-0.5230411492567892,0.651791543623317,1.5264686119658475,MAOB,12,0.8333333333333334,TRUE
ENSG00000108799,EZH1,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,4,0.4,0,0,-0.5237930354424962,-0.5619293288500077,0.7444146785690933,0.8535604102463382,MAOB,12,0.8333333333333334,TRUE
ENSG00000165801,ARHGEF40,10,BRCA;COAD;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,4,0.4,0,0,-0.31775306967316547,-0.38238494332814316,0.8481826858515404,1.4859156937305367,MAOB,12,0.8333333333333334,TRUE
