gene,minimum_coverage_fraction,minimum_coverage_cancers,n_cancers,observed_n_loss,observed_loss_fraction,observed_n_gain,observed_gain_fraction,observed_median_logFC,n_candidate_genes,null_median_loss_fraction,null_median_gain_fraction,null_median_logFC,p_recurrent_loss,p_recurrent_gain,p_median_negative,status,q_recurrent_loss,q_recurrent_gain,q_median_negative
MAOB,0.5,6,12,11,0.9166666666666666,1,0.08333333333333333,-1.5034031946109587,844,0,0.125,0.0864144193910841,0.011834319526627219,0.5763313609467455,0.011834319526627219,estimable_same_gene_null,0.047337278106508875,0.6872727272727273,0.047337278106508875
MAOB,0.6,8,12,11,0.9166666666666666,1,0.08333333333333333,-1.5034031946109587,360,0,0.11805555555555555,0.10829988235127491,0.008310249307479225,0.6038781163434903,0.013850415512465374,estimable_same_gene_null,0.0332409972299169,0.751953125,0.055401662049861494
MAOB,0.7,9,12,11,0.9166666666666666,1,0.08333333333333333,-1.5034031946109587,191,0,0.1,0.09539183303730861,0.005208333333333333,0.5520833333333334,0.005208333333333333,estimable_same_gene_null,0.020833333333333332,0.796812749003984,0.020833333333333332
MAOB,0.8,10,12,11,0.9166666666666666,1,0.08333333333333333,-1.5034031946109587,66,0,0.09545454545454546,0.10094239752867609,0.014925373134328358,0.5373134328358209,0.014925373134328358,estimable_same_gene_null,0.03225806451612903,0.9032258064516129,0.03225806451612903
MAOB,0.9,11,12,,,,,,7,,,,,,,insufficient_same_gene_candidates,,,
CYP3A4,0.5,4,8,6,0.75,1,0.125,-2.0582567384576542,824,0.25,0.25,-0.07236235564804719,0.18666666666666668,0.6872727272727273,0.07878787878787878,estimable_same_gene_null,0.37333333333333335,0.6872727272727273,0.15757575757575756
CYP3A4,0.6,5,8,6,0.75,1,0.125,-2.0582567384576542,511,0.2,0.2857142857142857,0.09987475025505409,0.099609375,0.751953125,0.048828125,estimable_same_gene_null,0.19921875,0.751953125,0.09765625
CYP3A4,0.7,6,8,6,0.75,1,0.125,-2.0582567384576542,250,0.16666666666666666,0.3333333333333333,0.17337618156802845,0.0398406374501992,0.796812749003984,0.0199203187250996,estimable_same_gene_null,0.0796812749003984,0.796812749003984,0.0398406374501992
CYP3A4,0.8,7,8,6,0.75,1,0.125,-2.0582567384576542,92,0.14285714285714285,0.2857142857142857,0.18641201402366558,0.021505376344086023,0.9032258064516129,0.021505376344086023,estimable_same_gene_null,0.03225806451612903,0.9032258064516129,0.03225806451612903
CYP3A4,0.9,8,8,,,,,,3,,,,,,,insufficient_same_gene_candidates,,,
CYP3A5,0.5,6,12,3,0.25,2,0.16666666666666666,-0.2602645764453485,304,0.42857142857142855,0.2222222222222222,-0.19544890513698027,0.740983606557377,0.6622950819672131,0.4819672131147541,estimable_same_gene_null,0.740983606557377,0.6872727272727273,0.4819672131147541
CYP3A5,0.6,8,12,3,0.25,2,0.16666666666666666,-0.2602645764453485,71,0.3333333333333333,0.25,-0.03174528917321881,0.6944444444444444,0.6527777777777778,0.375,estimable_same_gene_null,0.6944444444444444,0.751953125,0.375
CYP3A5,0.7,9,12,3,0.25,2,0.16666666666666666,-0.2602645764453485,30,0.24747474747474746,0.26111111111111107,0.139982136892949,0.5161290322580645,0.7096774193548387,0.3225806451612903,estimable_same_gene_null,0.5161290322580645,0.796812749003984,0.3225806451612903
CYP3A5,0.8,10,12,,,,,,7,,,,,,,insufficient_same_gene_candidates,,,
CYP3A5,0.9,11,12,,,,,,1,,,,,,,insufficient_same_gene_candidates,,,
CYP3A7,0.5,3,5,3,0.6,1,0.2,-1.7743696974805265,838,0.6,0.2,-0.7707034054396754,0.5029797377830751,0.5017878426698451,0.300357568533969,estimable_same_gene_null,0.6706396503774334,0.6872727272727273,0.400476758045292
CYP3A7,0.6,3,5,3,0.6,1,0.2,-1.7743696974805265,838,0.6,0.2,-0.7707034054396754,0.5029797377830751,0.5017878426698451,0.300357568533969,estimable_same_gene_null,0.6706396503774334,0.751953125,0.375
CYP3A7,0.7,4,5,3,0.6,1,0.2,-1.7743696974805265,313,0.5,0.25,-0.483948963226587,0.37579617834394907,0.6273885350318471,0.2484076433121019,estimable_same_gene_null,0.5010615711252654,0.796812749003984,0.3225806451612903
CYP3A7,0.8,4,5,3,0.6,1,0.2,-1.7743696974805265,313,0.5,0.25,-0.483948963226587,0.37579617834394907,0.6273885350318471,0.2484076433121019,estimable_same_gene_null,0.37579617834394907,0.9032258064516129,0.2484076433121019
CYP3A7,0.9,5,5,,,,,,15,,,,,,,insufficient_same_gene_candidates,,,
CYP3A43,0.5,1,2,,,,,,,,,,,,,insufficient_cancers,,,
CYP3A43,0.6,2,2,,,,,,,,,,,,,insufficient_cancers,,,
CYP3A43,0.7,2,2,,,,,,,,,,,,,insufficient_cancers,,,
CYP3A43,0.8,2,2,,,,,,,,,,,,,insufficient_cancers,,,
CYP3A43,0.9,2,2,,,,,,,,,,,,,insufficient_cancers,,,
