organ,gene,n_cancer_types,cancer_types,total_pairs,baseline_tpm,baseline_log2_tpm1,tau,count_level_logFC,minimum_logFC,maximum_logFC,baseline_z
breast,CYP3A4,1,BRCA,113,0.240634,0.3110775681161671,0.9964085738630708,-2.1904094810539343,-2.1904094810539343,-2.1904094810539343,-0.39136998343376533
breast,CYP3A5,1,BRCA,113,5.13068,2.616047102989291,0.9437232781882395,-0.2904503092437013,-0.2904503092437013,-0.2904503092437013,-0.5941044420896591
breast,MAOB,1,BRCA,113,70.224,6.154291555835664,0.7595819301901545,-2.1583680889801524,-2.1583680889801524,-2.1583680889801524,0.5770109431641427
colon,CYP3A4,1,COAD,41,0.230075,0.2987462820924464,0.9964085738630708,-2.9215306840079713,-2.9215306840079713,-2.9215306840079713,-0.3950809781428882
colon,CYP3A5,1,COAD,41,15.347895,4.031032977181317,0.9437232781882395,-0.19820252968770222,-0.19820252968770222,-0.19820252968770222,0.0888634092044665
colon,MAOB,1,COAD,41,53.3664,5.764643394715486,0.7595819301901545,-2.70789628870493,-2.70789628870493,-2.70789628870493,0.19912427723756893
esophagus,CYP3A4,1,ESCA,13,0.1491,0.2005043534465213,0.9964085738630708,-0.41440373079989606,-0.41440373079989606,-0.41440373079989606,-0.42464604351544954
esophagus,CYP3A5,1,ESCA,13,2.02717,1.5979696963977392,0.9437232781882395,-0.39199569808975593,-0.39199569808975593,-0.39199569808975593,-1.0854974315977421
esophagus,MAOB,1,ESCA,13,90.278,6.512195275846861,0.7595819301901545,-1.447021388863092,-1.447021388863092,-1.447021388863092,0.9241113711218536
kidney,CYP3A4,3,KICH;KIRC;KIRP,129,0.213872,0.2796163007524594,0.9964085738630708,-1.834353719537459,-1.926103995861374,1.782107097062945,-0.4008379818651075
kidney,CYP3A5,3,KICH;KIRC;KIRP,129,8.15326,3.194285661232413,0.9437232781882395,1.4618337550315275,-0.09704918525757157,1.7552260874981467,-0.3150074186764597
kidney,CYP3A7,3,KICH;KIRC;KIRP,129,0.687882,0.7552140486153798,0.9920989699539168,-0.4792482413452199,-1.7743696974805265,2.490823303182836,-0.7295382797071551
kidney,MAOB,3,KICH;KIRC;KIRP,129,37.6169,5.271160450420547,0.7595819301901545,-0.8481437556344779,-4.277630302455459,0.8048316374358927,-0.2794629281405861
liver,CYP3A4,1,LIHC,50,335.297,8.393592098866913,0.9964085738630708,-7.284966075661003,-7.284966075661003,-7.284966075661003,2.0409934052936825
liver,CYP3A43,1,LIHC,50,4.28768,2.4026348704193086,0.9588837795202965,-2.8537130033334575,-2.8537130033334575,-2.8537130033334575,0.7071067811865475
liver,CYP3A5,1,LIHC,50,155.853,7.293269312477009,0.9437232781882395,-1.055955835712751,-1.055955835712751,-1.055955835712751,1.663439227215892
liver,CYP3A7,1,LIHC,50,24.5131,4.6731663008801325,0.9920989699539168,-1.8042319330231502,-1.8042319330231502,-1.8042319330231502,1.1399016600276726
liver,MAOB,1,LIHC,50,99.7081,6.654035914428958,0.7595819301901545,-0.9141250816916641,-0.9141250816916641,-0.9141250816916641,1.0616705626052518
lung,CYP3A5,2,LUAD;LUSC,109,17.5528,4.213565030589169,0.9437232781882395,-0.6644293265516531,-0.99559653632554,-0.3332621167777662,0.1769657193278449
lung,CYP3A7,1,LUSC,51,1.68354,1.4241373926280432,0.9920989699539168,-2.6581924619032002,-2.6581924619032002,-2.6581924619032002,-0.41036338032051745
lung,MAOB,2,LUAD;LUSC,109,58.3808,5.891924624861612,0.7595819301901545,-1.8714721041735616,-2.240749604167458,-1.5021946041796652,0.32256353473766464
prostate,CYP3A43,1,PRAD,52,0.655112,0.7269288462635529,0.9588837795202965,-0.7124778756562306,-0.7124778756562306,-0.7124778756562306,-0.7071067811865476
prostate,CYP3A5,1,PRAD,52,42.5218,5.443666320532872,0.9437232781882395,-1.4360464349641855,-1.4360464349641855,-1.4360464349641855,0.770695770058352
prostate,MAOB,1,PRAD,52,58.8878,5.904190230252803,0.7595819301901545,-1.3230157448894477,-1.3230157448894477,-1.3230157448894477,0.33445890391770505
stomach,CYP3A4,1,STAD,33,0.137481,0.18584244734675526,0.9964085738630708,-2.4340114440665364,-2.4340114440665364,-2.4340114440665364,-0.4290584183364717
stomach,CYP3A5,1,STAD,33,45.2894,5.532609957525062,0.9437232781882395,-0.22373042944017868,-0.22373042944017868,-0.22373042944017868,0.8136259828263962
stomach,MAOB,1,STAD,33,20.341,4.415555874669163,0.7595819301901545,-1.9133117519938714,-1.9133117519938714,-1.9133117519938714,-1.109241155638725
thyroid,CYP3A5,1,THCA,59,0.624359,0.6998705181646011,0.9437232781882395,-0.23007884364699577,-0.23007884364699577,-0.23007884364699577,-1.5189808162690903
thyroid,MAOB,1,THCA,59,10.0494,3.465896125994902,0.7595819301901545,-1.5046117850422522,-1.5046117850422522,-1.5046117850422522,-2.030235509004865
