n_cells,n_organs,n_genes,beta_baseline_z,robust_se,t_value,p_value,status,omitted_type,omitted_value
26,8,5,-0.6546552664142773,0.37471147783465103,-1.7470915761570482,0.09596090172634084,estimable_cluster_HC2,organ,breast
26,8,5,-0.6738286397696318,0.38677030478056407,-1.7421933158801621,0.09683298454945544,estimable_cluster_HC2,organ,colon
26,8,5,-0.6528684376817121,0.34368379330401627,-1.8996195060737031,0.07200094373012095,estimable_cluster_HC2,organ,esophagus
25,8,5,-0.5928077950455156,0.3428603449239599,-1.729006587731776,0.10002305239328696,estimable_cluster_HC2,organ,kidney
23,8,4,-0.29108764511502017,0.1922111340050645,-1.51441614775214,0.1472826803832749,estimable_cluster_HC2,organ,liver
26,8,5,-0.7368921403488312,0.4278581531781619,-1.7222814030190663,0.100448616942885,estimable_cluster_HC2,organ,lung
25,8,4,-0.6222746683973567,0.377779913945855,-1.6471883375105638,0.11514216903000611,estimable_cluster_HC2,organ,prostate
26,8,5,-0.7016198525712894,0.39494829208766624,-1.7764853441005681,0.09086855201951549,estimable_cluster_HC2,organ,stomach
27,8,5,-0.6851223743258859,0.35818055310800395,-1.9127849582590195,0.06951057576275184,estimable_cluster_HC2,organ,thyroid
20,9,4,-0.9828242959303225,0.37045701126495756,-2.6530049804547735,0.018082446476741336,estimable_cluster_HC2,gene,MAOB
23,9,4,-0.23937504201587315,0.16407026628390944,-1.4589788109544193,0.16180163152915422,estimable_cluster_HC2,gene,CYP3A4
20,9,4,-0.7972606144447302,0.4638468368481128,-1.7188014471807083,0.10621367968527577,estimable_cluster_HC2,gene,CYP3A5
26,9,4,-0.6742460432745754,0.4105076624823518,-1.6424688377249523,0.11538395537455483,estimable_cluster_HC2,gene,CYP3A7
27,9,4,-0.6058923159530646,0.34768579559472623,-1.742643282037648,0.09535920380963883,estimable_cluster_HC2,gene,CYP3A43
