tcga_code,partner,n_pairs,detection_normal_MAOB,detection_tumor_MAOB,detection_normal_partner,detection_tumor_partner,rho_normal,rho_tumor,delta_rho,bootstrap_valid,ci_low,ci_high,p_value,status,organ,q_value_primary,passes_coexpression_effect,robust_rewiring,rewiring_direction
BLCA,CYP3A4,19,1,1,0.631578947368421,0.7894736842105263,,,,,,,,insufficient_n_lt20,bladder,,FALSE,FALSE,not_estimable
BLCA,CYP3A5,19,1,1,1,1,,,,,,,,insufficient_n_lt20,bladder,,FALSE,FALSE,not_estimable
BLCA,CYP3A7,19,1,1,0.6842105263157895,0.8947368421052632,,,,,,,,insufficient_n_lt20,bladder,,FALSE,FALSE,not_estimable
BLCA,CYP3A43,19,1,1,0.631578947368421,0.7368421052631579,,,,,,,,insufficient_n_lt20,bladder,,FALSE,FALSE,not_estimable
BRCA,CYP3A4,113,1,1,0.9911504424778761,0.8407079646017699,0.4023304943775369,0.015462332883815919,-0.38686816149372094,2000,-0.6491999380778566,-0.11747038047674394,0.001999000499750125,primary_n_ge_30,breast,0.011422859998572142,TRUE,TRUE,more_negative_in_tumor
BRCA,CYP3A5,113,1,1,1,1,0.3618920087830196,-0.0887617273271675,-0.4506537361101871,2000,-0.6779362139873529,-0.19257239662938822,9.995002498750624e-4,primary_n_ge_30,breast,0.006663334999167083,TRUE,TRUE,more_negative_in_tumor
BRCA,CYP3A7,113,1,1,0.9026548672566371,0.7256637168141593,0.06312829935809272,0.1461466133188086,0.08301831396071588,2000,-0.18109118812846006,0.3465547524857764,0.527736131934033,primary_n_ge_30,breast,0.7369648509078793,FALSE,FALSE,not_robust
BRCA,CYP3A43,113,1,1,0.9734513274336283,0.7256637168141593,-0.01841859575365731,-0.007457770381607904,0.010960825372049406,2000,-0.24440608644500678,0.2660316038638264,0.9015492253873063,primary_n_ge_30,breast,0.9784581393513769,FALSE,FALSE,not_robust
COAD,CYP3A4,41,1,1,1,0.975609756097561,0.03519163763066203,0.039372822299651576,0.004181184668989549,2000,-0.45515536919042704,0.45793699275678484,0.9775112443778111,primary_n_ge_30,colon,0.9795102448775612,FALSE,FALSE,not_robust
COAD,CYP3A5,41,1,1,1,1,-0.0942508710801394,-0.19442508710801396,-0.10017421602787456,2000,-0.593658898490006,0.39619158809803356,0.7246376811594203,primary_n_ge_30,colon,0.8783487044356609,FALSE,FALSE,not_robust
COAD,CYP3A7,41,1,1,0.9512195121951219,0.8048780487804879,-0.18633215750067222,-0.08871839301606248,0.09761376448460975,2000,-0.36645427306912254,0.5364559611902692,0.7236381809095452,primary_n_ge_30,colon,0.8783487044356609,FALSE,FALSE,not_robust
COAD,CYP3A43,41,1,1,0.5853658536585366,0.4634146341463415,0.2094992243598631,0.22732806074357906,0.017828836383715962,2000,-0.45376178491998387,0.4737126530618043,0.9795102448775612,primary_n_ge_30,colon,0.9795102448775612,FALSE,FALSE,not_robust
ESCA,CYP3A4,13,1,1,1,1,,,,,,,,insufficient_n_lt20,esophagus,,FALSE,FALSE,not_estimable
ESCA,CYP3A5,13,1,1,1,1,,,,,,,,insufficient_n_lt20,esophagus,,FALSE,FALSE,not_estimable
ESCA,CYP3A7,13,1,1,0.9230769230769231,0.9230769230769231,,,,,,,,insufficient_n_lt20,esophagus,,FALSE,FALSE,not_estimable
ESCA,CYP3A43,13,1,1,0.9230769230769231,1,,,,,,,,insufficient_n_lt20,esophagus,,FALSE,FALSE,not_estimable
HNSC,CYP3A4,43,1,1,1,0.8604651162790697,-0.1757777106614316,-0.032964153905469064,0.14281355675596255,2000,-0.27095300955952517,0.5386615135940077,0.5527236381809095,primary_n_ge_30,head and neck,0.7369648509078793,FALSE,FALSE,not_robust
HNSC,CYP3A5,43,1,1,1,1,-0.39534883720930236,-0.159468438538206,0.23588039867109636,2000,-0.21635930909562498,0.68353382283167885,0.33883058470764615,primary_n_ge_30,head and neck,0.645391589919326,TRUE,FALSE,not_robust
HNSC,CYP3A7,43,1,1,0.5813953488372093,0.5581395348837209,0.11850703377799218,-0.05086415380535825,-0.16937118758335043,2000,-0.5963006226097137,0.2658880942022906,0.47476261869065467,primary_n_ge_30,head and neck,0.7369648509078793,FALSE,FALSE,not_robust
HNSC,CYP3A43,43,1,1,0.4883720930232558,0.4883720930232558,0.05694938379759179,-0.09897186357986036,-0.15592124737745217,2000,-0.6313106881474574,0.3225496079893159,0.5427286356821589,primary_n_ge_30,head and neck,0.7369648509078793,FALSE,FALSE,not_robust
KICH,CYP3A4,25,1,1,1,0.92,0.7361538461538462,-0.2185035624185419,-0.954657408572388,2000,-1.3790080008329337,-0.4121089600919019,9.995002498750624e-4,exploratory_n_20_29,kidney,,TRUE,FALSE,not_robust
KICH,CYP3A5,25,1,1,1,1,0.5107692307692309,-0.07307692307692308,-0.5838461538461539,2000,-1.0468328315983535,-0.017162811906163363,0.044977511244377814,exploratory_n_20_29,kidney,,TRUE,FALSE,not_robust
KICH,CYP3A7,25,1,1,0.96,0.96,0.7138461538461538,0.07615384615384616,-0.6376923076923077,2000,-1.0045928883613016,-0.20711403690085917,0.0029985007496251873,exploratory_n_20_29,kidney,,TRUE,FALSE,not_robust
KICH,CYP3A43,25,1,1,0.96,0.84,-0.06307692307692307,-0.10469595096126129,-0.04161902788433822,2000,-0.5792561184730057,0.5588120486418969,0.9075462268865567,exploratory_n_20_29,kidney,,FALSE,FALSE,not_robust
KIRC,CYP3A4,72,1,1,1,0.9861111111111112,0.8820502926233199,0.14933436233841407,-0.7327159302849058,2000,-0.9801316085851269,-0.46613665428987244,9.995002498750624e-4,primary_n_ge_30,kidney,0.006663334999167083,TRUE,TRUE,more_negative_in_tumor
KIRC,CYP3A5,72,1,1,1,1,0.6637725898771626,0.11020001286256352,-0.553572577014599,2000,-0.8337583301879448,-0.2855520827488945,9.995002498750624e-4,primary_n_ge_30,kidney,0.006663334999167083,TRUE,TRUE,more_negative_in_tumor
KIRC,CYP3A7,72,1,1,1,0.9861111111111112,0.8439127918194098,0.20091324200913244,-0.6429995498102774,2000,-0.9104646750327586,-0.3917413427765272,9.995002498750624e-4,primary_n_ge_30,kidney,0.006663334999167083,TRUE,TRUE,more_negative_in_tumor
KIRC,CYP3A43,72,1,1,0.875,0.8888888888888888,0.24655605675314643,0.032942996521070383,-0.21361306023207605,2000,-0.5086755019760667,0.09805927969357586,0.19590204897551225,primary_n_ge_30,kidney,0.41179410294852575,TRUE,FALSE,not_robust
KIRP,CYP3A4,32,1,1,1,0.96875,0.939516129032258,0.25513196480938416,-0.6843841642228738,2000,-1.0380221881560623,-0.37364612787793217,9.995002498750624e-4,primary_n_ge_30,kidney,0.006663334999167083,TRUE,TRUE,more_negative_in_tumor
KIRP,CYP3A5,32,1,1,1,1,0.6598240469208211,0.42741935483870963,-0.23240469208211145,2000,-0.5998831927640484,0.11168293923562529,0.16691654172913542,primary_n_ge_30,kidney,0.41179410294852575,TRUE,FALSE,not_robust
KIRP,CYP3A7,32,1,1,1,0.90625,0.875733137829912,0.2244224573334189,-0.6513106804964931,2000,-0.9983149560103006,-0.3418185544693501,9.995002498750624e-4,primary_n_ge_30,kidney,0.006663334999167083,TRUE,TRUE,more_negative_in_tumor
KIRP,CYP3A43,32,1,1,0.90625,0.75,-0.09790979756212884,0.2703214514521004,0.3682312490142292,2000,-0.1934888245150705,0.9113877691374208,0.2048975512243878,primary_n_ge_30,kidney,0.41179410294852575,TRUE,FALSE,not_robust
LUAD,CYP3A4,58,1,1,0.8620689655172413,0.8275862068965517,-0.09819368611123706,0.0073922414067134476,0.10558592751795051,2000,-0.24405710397075214,0.45773690845508974,0.5387306346826587,primary_n_ge_30,lung,0.7369648509078793,FALSE,FALSE,not_robust
LUAD,CYP3A5,58,1,1,1,1,0.3497800609062105,0.08499184841120919,-0.2647882124950013,2000,-0.6172449000040587,0.12351612725455766,0.16991504247876063,primary_n_ge_30,lung,0.41179410294852575,TRUE,FALSE,not_robust
LUAD,CYP3A7,58,1,1,1,0.8103448275862069,0.43584853425205317,0.34001630821907375,-0.09583222603297942,2000,-0.3992060197640591,0.20302725112170875,0.543728135932034,primary_n_ge_30,lung,0.7369648509078793,FALSE,FALSE,not_robust
LUAD,CYP3A43,58,1,1,0.7068965517241379,0.5344827586206896,-0.12735231563653046,0.09657858354481316,0.22393089918134362,2000,-0.1191845554382812,0.5574004866137746,0.20589705147426288,primary_n_ge_30,lung,0.41179410294852575,TRUE,FALSE,not_robust
