tcga_code,gene,round2B_logFC,round2B_q,round2B_robust,round2B_interpretation,stage1_shift,stage1_robust,stage1_interpretation,finite_overlap,direction_concordant,robust_call_agreement,round2B_n_pairs,stage1_n_pairs,stage1_mean_shift,stage1_p_value,stage1_q_value_bh70,stage1_passes_statistical_screen,stage1_passes_effect_screen,round2B_analysis_status,stage1_status,xena_patient_cases,round2B_patient_cases,n_common_patient_cases,n_xena_only_cases,n_round2B_only_cases,exact_patient_set_match,patient_set_relation,status
BLCA,MAOB,-3.6551076823365953,2.408726965367572e-6,TRUE,loss,-2.618626934219926,TRUE,loss,TRUE,TRUE,TRUE,19,19,-2.9004794862930487,3.6883610537867024e-4,8.068289805158411e-4,TRUE,TRUE,primary_count_level,estimable_xena,19,19,19,0,0,TRUE,exact_match,overlap_estimable
BLCA,CYP3A4,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,19,19,-8.114781908355732e-4,0.34565946134317316,0.4119057891435222,FALSE,FALSE,low_expression_not_estimable,estimable_xena,19,19,19,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
BLCA,CYP3A5,-1.2830907099126685,0.0055544870091684,TRUE,loss,-0.8949764883965967,FALSE,not_robust,TRUE,TRUE,FALSE,19,19,-0.8554847908630173,0.05096838983369197,0.08494731638948662,FALSE,TRUE,primary_count_level,estimable_xena,19,19,19,0,0,TRUE,exact_match,overlap_estimable
BLCA,CYP3A7,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,19,19,0.19168033293487635,0.5135916823370115,0.5706574248189017,FALSE,FALSE,low_expression_not_estimable,estimable_xena,19,19,19,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
BLCA,CYP3A43,,,FALSE,not_estimable_primary,0.028034508458644358,FALSE,not_robust,FALSE,,,19,19,0.04523449102659955,0.2753766293246829,0.3442207866558536,FALSE,FALSE,low_expression_not_estimable,estimable_xena,19,19,19,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
BRCA,MAOB,-2.1583680889801524,1.8261830203645057e-15,TRUE,loss,-2.1914160440858588,TRUE,loss,TRUE,TRUE,TRUE,113,112,-2.194997900879056,9.19655210253018e-15,3.218793235885563e-13,TRUE,TRUE,primary_count_level,estimable_xena,112,113,112,0,1,FALSE,source_specific_mismatch_recorded,overlap_estimable
BRCA,CYP3A4,-2.1904094810539343,1.281799192095636e-17,TRUE,loss,-0.15405511969818977,FALSE,not_robust,TRUE,TRUE,FALSE,113,112,-0.20866484692381387,5.204288936901258e-17,3.64300225583088e-15,TRUE,FALSE,primary_count_level,estimable_xena,112,113,112,0,1,FALSE,source_specific_mismatch_recorded,overlap_estimable
BRCA,CYP3A5,-0.2904503092437013,1.9223618166368217e-5,FALSE,not_robust,-0.4597542378739624,FALSE,not_robust,TRUE,TRUE,TRUE,113,112,-0.5622139279834506,1.406465986208979e-13,3.281753967820951e-12,TRUE,FALSE,primary_count_level,estimable_xena,112,113,112,0,1,FALSE,source_specific_mismatch_recorded,overlap_estimable
BRCA,CYP3A7,,,FALSE,not_estimable_primary,-0.10403784468359492,FALSE,not_robust,FALSE,,,113,112,-0.10377554671305145,1.617596889049737e-7,7.076986389592599e-7,TRUE,FALSE,low_expression_not_estimable,estimable_xena,112,113,112,0,1,FALSE,source_specific_mismatch_recorded,count_level_not_estimable:low_expression_not_estimable
BRCA,CYP3A43,,,FALSE,not_estimable_primary,-0.04780759911843058,FALSE,not_robust,FALSE,,,113,112,-0.05018872035381472,3.795107147396409e-7,1.47587500176527e-6,TRUE,FALSE,low_expression_not_estimable,estimable_xena,112,113,112,0,1,FALSE,source_specific_mismatch_recorded,count_level_not_estimable:low_expression_not_estimable
