gene,minimum_coverage_fraction,n_target_contexts_total,original_target_contexts,common_denominator_n,actual_common_coverage_fraction,selected_common_contexts,excluded_target_contexts,n_sets_tied_for_maximum,observed_full_n_loss,observed_full_loss_fraction,observed_full_n_gain,observed_full_gain_fraction,observed_full_median_logFC,observed_common_n_loss,observed_common_loss_fraction,observed_common_n_gain,observed_common_gain_fraction,observed_common_median_logFC,minimum_coverage_cancers,n_cancers,observed_n_loss,observed_loss_fraction,observed_n_gain,observed_gain_fraction,observed_median_logFC,n_candidate_genes,null_median_loss_fraction,null_median_gain_fraction,null_median_logFC,p_recurrent_loss,p_median_negative,p_recurrent_gain,status,endpoint_hierarchy,n_targets_in_BH_recurrent_loss,n_targets_in_BH_median_negative,n_targets_in_BH_recurrent_gain,q_recurrent_loss,q_median_negative,q_recurrent_gain,q_recurrent_loss_global_across_coverages,q_median_negative_global_across_coverages,q_recurrent_gain_global_across_coverages,within_coverage_BH_note,global_BH_note
MAOB,0.5,12,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD;THCA,6,0.5,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,BRCA;COAD;ESCA;LIHC;STAD;THCA,1,11,0.9166666666666666,1,0.08333333333333333,-1.5034031946109587,5,0.8333333333333334,1,0.16666666666666666,-1.4126051745345563,6,6,5,0.8333333333333334,1,0.16666666666666666,-1.4126051745345563,332,0,0.16666666666666666,0.15364895724587488,0.018018018018018018,0.006006006006006006,0.5555555555555556,estimable_denominator_aligned_null,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",4,4,4,0.07207207207207207,0.024024024024024024,0.6401028277634961,0.09333333333333332,0.05035971223021583,0.8439716312056738,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint
MAOB,0.6,12,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD;THCA,8,0.6666666666666666,BRCA;COAD;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ESCA;LIHC;STAD;THCA,1,11,0.9166666666666666,1,0.08333333333333333,-1.5034031946109587,7,0.875,1,0.125,-1.8302813465799088,8,8,7,0.875,1,0.125,-1.8302813465799088,138,0,0.125,0.1927077006552903,0.02877697841726619,0.007194244604316547,0.5827338129496403,estimable_denominator_aligned_null,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",4,4,4,0.11510791366906475,0.02877697841726619,0.7925925925925926,0.09333333333333332,0.05035971223021583,0.8439716312056738,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint
MAOB,0.7,12,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD;THCA,9,0.75,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,LIHC;STAD;THCA,1,11,0.9166666666666666,1,0.08333333333333333,-1.5034031946109587,8,0.8888888888888888,1,0.1111111111111111,-1.5021946041796652,9,9,8,0.8888888888888888,1,0.1111111111111111,-1.5021946041796652,80,0,0.05555555555555555,0.10035458207154632,0.024691358024691357,0.024691358024691357,0.5061728395061729,estimable_denominator_aligned_null,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",3,3,3,0.037037037037037035,0.037037037037037035,0.8525641025641025,0.09333333333333332,0.05761316872427984,0.8439716312056738,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint
MAOB,0.8,12,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD;THCA,10,0.8333333333333334,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,LIHC;THCA,1,11,0.9166666666666666,1,0.08333333333333333,-1.5034031946109587,9,0.9,1,0.1,-1.7077531780867683,10,10,9,0.9,1,0.1,-1.7077531780867683,40,0,0,0.11032199803365256,0.04878048780487805,0.024390243902439025,0.4878048780487805,estimable_denominator_aligned_null,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",3,3,3,0.07317073170731708,0.03658536585365854,0.9,0.11382113821138212,0.05761316872427984,0.8439716312056738,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint
MAOB,0.9,12,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD;THCA,11,0.9166666666666666,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,THCA,1,11,0.9166666666666666,1,0.08333333333333333,-1.5034031946109587,10,0.9090909090909091,1,0.09090909090909091,-1.5021946041796652,11,11,10,0.9090909090909091,1,0.09090909090909091,-1.5021946041796652,6,0,0,-0.04166726931001735,,,,insufficient_common_set_candidates,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",0,0,0,,,,,,,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint
CYP3A4,0.5,8,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;STAD,4,0.5,BRCA;KICH;KIRC;KIRP,COAD;ESCA;LIHC;STAD,1,6,0.75,1,0.125,-2.0582567384576542,3,0.75,1,0.25,-1.8802288576994166,4,4,3,0.75,1,0.25,-1.8802288576994166,388,0.25,0.25,-0.09158777959194567,0.20308483290488433,0.10282776349614396,0.6401028277634961,estimable_denominator_aligned_null,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",4,4,4,0.40616966580976865,0.20565552699228792,0.6401028277634961,0.3553984575835476,0.17994858611825193,0.8439716312056738,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint
CYP3A4,0.6,8,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;STAD,5,0.625,COAD;KICH;KIRC;KIRP;STAD,BRCA;ESCA;LIHC,1,6,0.75,1,0.125,-2.0582567384576542,4,0.8,1,0.2,-1.926103995861374,5,5,4,0.8,1,0.2,-1.926103995861374,269,0.2,0.4,0.29155106107507345,0.07407407407407407,0.040740740740740744,0.7925925925925926,estimable_denominator_aligned_null,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",4,4,4,0.14814814814814814,0.08148148148148149,0.7925925925925926,0.14814814814814814,0.08148148148148149,0.9,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint
CYP3A4,0.7,8,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;STAD,6,0.75,BRCA;COAD;KICH;KIRC;KIRP;STAD,ESCA;LIHC,1,6,0.75,1,0.125,-2.0582567384576542,5,0.8333333333333334,1,0.16666666666666666,-2.0582567384576542,6,6,5,0.8333333333333334,1,0.16666666666666666,-2.0582567384576542,155,0.16666666666666666,0.3333333333333333,0.2762054696929389,0.019230769230769232,0.019230769230769232,0.8525641025641025,estimable_denominator_aligned_null,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",3,3,3,0.037037037037037035,0.037037037037037035,0.8525641025641025,0.09333333333333332,0.05761316872427984,0.9,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint
CYP3A4,0.8,8,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;STAD,7,0.875,BRCA;COAD;ESCA;KICH;KIRC;KIRP;STAD,LIHC,1,6,0.75,1,0.125,-2.0582567384576542,5,0.7142857142857143,1,0.14285714285714285,-1.926103995861374,7,7,5,0.7142857142857143,1,0.14285714285714285,-1.926103995861374,89,0.14285714285714285,0.2857142857142857,0.1933474041548866,0.03333333333333333,0.022222222222222223,0.9,estimable_denominator_aligned_null,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",3,3,3,0.07317073170731708,0.03658536585365854,0.9,0.09333333333333332,0.05761316872427984,0.9,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint
CYP3A4,0.9,8,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;STAD,8,1,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;STAD,,1,6,0.75,1,0.125,-2.0582567384576542,6,0.75,1,0.125,-2.0582567384576542,8,8,6,0.75,1,0.125,-2.0582567384576542,3,0.25,0.25,0.237853589446859,,,,insufficient_common_set_candidates,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",0,0,0,,,,,,,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint
