target_gene,minimum_coverage_fraction,n_target_contexts_total,common_denominator_n,common_contexts,n_complete_background_profiles,selection_rank,selected_common_set,n_sets_tied_for_maximum,adequate_background_n,selection_rule
MAOB,0.5,9,5,breast;colon;kidney;lung;prostate,162,1,TRUE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;esophagus;kidney;lung;prostate,155,2,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;lung;prostate;stomach,127,3,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;esophagus;lung;prostate,126,4,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,colon;esophagus;kidney;lung;prostate,120,5,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;esophagus;kidney;prostate,117,6,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,colon;kidney;lung;prostate;stomach,117,7,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;esophagus;kidney;lung,109,8,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;kidney;lung;prostate;stomach,109,9,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;esophagus;lung;prostate;stomach,105,10,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;kidney;liver;lung;prostate,102,11,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,colon;esophagus;lung;prostate;stomach,100,12,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;kidney;prostate;stomach,99,13,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;esophagus;prostate;stomach,92,14,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;esophagus;lung;stomach,90,15,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;kidney;lung;stomach,87,16,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;esophagus;kidney;prostate;stomach,83,17,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;esophagus;kidney;liver;prostate,81,18,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,esophagus;kidney;lung;prostate;stomach,81,19,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,colon;esophagus;kidney;prostate;stomach,79,20,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,colon;esophagus;kidney;lung;stomach,73,21,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;esophagus;kidney;lung;stomach,68,22,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;esophagus;kidney;stomach,65,23,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;esophagus;kidney;liver;lung,61,24,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,esophagus;kidney;liver;lung;prostate,59,25,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;kidney;liver;prostate,58,26,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;esophagus;liver;lung;prostate,58,27,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,colon;kidney;liver;lung;prostate,57,28,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;kidney;liver;lung,54,29,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;liver;lung;prostate,50,30,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;esophagus;kidney;liver,46,31,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;esophagus;liver;prostate,42,32,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,colon;esophagus;kidney;liver;prostate,41,33,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;colon;esophagus;liver;lung,40,34,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,colon;esophagus;kidney;liver;lung,38,35,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,colon;esophagus;liver;lung;prostate,35,36,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;kidney;liver;prostate;stomach,34,37,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,kidney;liver;lung;prostate;stomach,29,38,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;liver;lung;prostate;stomach,27,39,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
MAOB,0.5,9,5,breast;kidney;liver;lung;stomach,25,40,FALSE,1,TRUE,maximum complete profiles at fixed k; lexicographic tie-break; logFC not used
