target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,background_gene_id,background_gene_symbol,n_contexts,contexts,n_loss,loss_fraction,n_gain,gain_fraction,median_logFC,mean_logFC,mean_matching_distance,maximum_matching_distance,denominator_aligned
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000003056,M6PR,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.29981372885220114,0.1870039040618165,0.6688341063920845,0.739352503655701,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000004487,KDM1A,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.4475227242228756,0.4923860322841166,0.505911408625569,0.7621305286621106,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000005486,RHBDD2,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.14028276872197576,0.1013033557058233,0.6989867374392184,0.8532687875773717,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000005812,FBXL3,5,breast;colon;kidney;lung;prostate,1,0.2,0,0,-0.3359034985728859,-0.4072766622008729,0.7929887974898948,0.9799997627434304,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000008130,NADK,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.05558077323389918,0.04081597596936402,0.7631420794814687,0.9004120603694266,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000019144,PHLDB1,5,breast;colon;kidney;lung;prostate,1,0.2,0,0,-0.5473494698841079,-0.6237749675684363,0.7390587707539623,1.0051066422284065,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000042753,AP2S1,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.49458952117519495,0.5299863669815228,0.7071245554986451,0.8586763189560094,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000055044,NOP58,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.5587017842422463,0.5106867541471356,0.6665498393001309,0.9337797511546764,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000060971,ACAA1,5,breast;colon;kidney;lung;prostate,3,0.6,0,0,-0.6966668485297836,-0.551205737023423,0.7550342820281316,1.018756292064638,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000064726,BTBD1,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.08526735740026535,0.06528606381773237,0.5974972137326735,0.8137154283975808,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000065150,IPO5,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,-0.09499169896646932,0.17648961827718915,0.584713314608095,0.9097566880678798,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000066322,ELOVL1,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.0022877998827778925,0.05611356443508787,0.5748984838651507,0.9146355858960732,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000068903,SIRT2,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.06713276644318195,-0.031819929042361014,0.8022991217235007,0.9756111342193806,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000071462,BUD23,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.7019535035940474,0.5580986140262323,0.7322217985363793,0.930731625058475,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000071894,CPSF1,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.5314716327636816,0.5747557960302054,0.7103885944687993,0.7740942919473985,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000074695,LMAN1,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.3574547946953303,0.35675818655605585,0.6542655472730912,0.8556391185194624,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000074842,MYDGF,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.7840495846463426,0.6451652151257161,0.7659571438579856,0.840115951755692,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000079432,CIC,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.03632025984740188,0.052061648681498915,0.6676884668375982,0.7995591792127124,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000082996,RNF13,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.08157466111169703,-0.12007674803373768,0.5753989208501615,0.6633545705753433,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000086666,ZFAND6,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.10096531937805632,-0.08535837024033635,0.845421248445619,0.9147619233186546,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000087087,SRRT,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.4836951131907166,0.3940133435345018,0.6535908488155493,0.8790640260073727,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000089006,SNX5,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.10100355324978454,-0.06311331130994981,0.7024158227351821,0.9055854841792184,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000090013,BLVRB,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.00135087511474925,0.05656444144564825,0.8011750748126119,0.8867272778232239,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000090238,YPEL3,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.2668594478685432,-0.23841995636991856,0.7249399843802309,0.8919180370453473,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000090372,STRN4,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.3333932584801874,0.3421915816533231,0.6499802161001322,0.7601951763231461,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000090621,PABPC4,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.5117552118440734,0.44541457391433226,0.6996269150677553,0.8623380830448607,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000099864,PALM,5,breast;colon;kidney;lung;prostate,4,0.8,0,0,-1.5241835458487305,-1.2864148556067376,0.5653466054908224,0.6456923475327497,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000100225,FBXO7,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.16671641906788365,-0.20248503984305036,0.5898510076025835,0.8101196434291479,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000100299,ARSA,5,breast;colon;kidney;lung;prostate,1,0.2,0,0,0.09154956675272122,-0.006012195204879017,0.8700772950473796,0.9920314104753476,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000100401,RANGAP1,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.7037749452591806,0.6367080213623646,0.5980991360892197,0.9530220491924728,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000100567,PSMA3,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.3462850443665534,0.27758123871318363,0.6693260438940206,0.7166252603115721,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000100632,ERH,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.6209832217626469,0.4842529559474534,0.641302113028179,0.7806585389177887,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000101474,APMAP,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.43132711752257735,0.45231913173848326,0.5703269736409049,0.7825603092799216,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000102038,SMARCA1,5,breast;colon;kidney;lung;prostate,2,0.4,0,0,-0.5809542352573619,-0.4254722329966141,0.7547860599352247,0.9258999873589338,TRUE
