target_gene,context,logFC,constituent_cancers,n_constituent_cancers,record_type
MAOB,breast,-2.1583680889801524,BRCA,1,target_organ_value
MAOB,colon,-2.70789628870493,COAD,1,target_organ_value
MAOB,esophagus,-1.447021388863092,ESCA,1,target_organ_value
MAOB,kidney,-0.8481437556344779,KICH;KIRC;KIRP,3,target_organ_value
MAOB,liver,-0.914125081691664,LIHC,1,target_organ_value
MAOB,lung,-1.8714721041735616,LUAD;LUSC,2,target_organ_value
MAOB,prostate,-1.3230157448894475,PRAD,1,target_organ_value
MAOB,stomach,-1.9133117519938712,STAD,1,target_organ_value
MAOB,thyroid,-1.5046117850422522,THCA,1,target_organ_value
MAOB,liver,-0.32200486069098644,LIHC,1,background_organ_value
MAOB,colon,-1.2490954654427042,COAD,1,background_organ_value
MAOB,esophagus,-0.4188733761009034,ESCA,1,background_organ_value
MAOB,breast,0.3620425822501788,BRCA,1,background_organ_value
MAOB,colon,0.2184788276197055,COAD,1,background_organ_value
MAOB,kidney,0.20576287381281913,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,0.18023129446128627,LUAD;LUSC,2,background_organ_value
MAOB,liver,-0.6243962272964558,LIHC,1,background_organ_value
MAOB,colon,1.1231201887874356,COAD,1,background_organ_value
MAOB,esophagus,0.3786100243725873,ESCA,1,background_organ_value
MAOB,lung,0.4801616373499872,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.12682125287406254,PRAD,1,background_organ_value
MAOB,stomach,0.3961437854575055,STAD,1,background_organ_value
MAOB,breast,0.2991800894854205,BRCA,1,background_organ_value
MAOB,colon,0.02263835320700774,COAD,1,background_organ_value
MAOB,esophagus,0.30405647723931556,ESCA,1,background_organ_value
MAOB,kidney,0.118446691107429,KICH;KIRC;KIRP,3,background_organ_value
MAOB,liver,-0.871710399267289,LIHC,1,background_organ_value
MAOB,prostate,0.12127518716754776,PRAD,1,background_organ_value
MAOB,stomach,0.4655357735443519,STAD,1,background_organ_value
MAOB,esophagus,-0.00415363388395995,ESCA,1,background_organ_value
MAOB,liver,-0.00937460681040503,LIHC,1,background_organ_value
MAOB,breast,0.49491687638689846,BRCA,1,background_organ_value
MAOB,kidney,0.3979256157072411,KICH;KIRC;KIRP,3,background_organ_value
MAOB,liver,0.3897145772237326,LIHC,1,background_organ_value
MAOB,prostate,-0.21073494614495636,PRAD,1,background_organ_value
MAOB,colon,-0.3125105612195314,COAD,1,background_organ_value
MAOB,esophagus,-0.02027767180126705,ESCA,1,background_organ_value
MAOB,lung,0.00261211057726591,LUAD,1,background_organ_value
MAOB,esophagus,1.021359033774008,ESCA,1,background_organ_value
