tcga_code,partner,n_pairs,detection_normal_MAOB,detection_tumor_MAOB,detection_normal_partner,detection_tumor_partner,rho_normal,rho_tumor,delta_rho,bootstrap_valid,ci_low,ci_high,bootstrap_p_two_sided,status,organ,bootstrap_q_primary,passes_coexpression_effect,bootstrap_robust,rewiring_direction,n_pairs_permutation,observed_rho_normal_from_cache,observed_rho_tumor_from_cache,observed_delta_rho_from_cache,n_permutations_requested,n_permutations_valid,permutation_p_two_sided,permutation_monte_carlo_se,permutation_null_median_delta_rho,permutation_null_q025,permutation_null_q975,permutation_scheme,q_permutation_primary,n_cells_in_permutation_BH,permutation_passes_effect,permutation_robust,permutation_status,robust_call_agreement,robust_call_comparison
BLCA,CYP3A4,19,1,1,0.631578947368421,0.7894736842105263,,,,,,,,insufficient_n_lt20,bladder,,FALSE,FALSE,not_estimable,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
BLCA,CYP3A43,19,1,1,0.631578947368421,0.7368421052631579,,,,,,,,insufficient_n_lt20,bladder,,FALSE,FALSE,not_estimable,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
BLCA,CYP3A5,19,1,1,1,1,,,,,,,,insufficient_n_lt20,bladder,,FALSE,FALSE,not_estimable,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
BLCA,CYP3A7,19,1,1,0.6842105263157895,0.8947368421052632,,,,,,,,insufficient_n_lt20,bladder,,FALSE,FALSE,not_estimable,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
BRCA,CYP3A4,113,1,1,0.991150442477876,0.8407079646017699,0.4023304943775369,0.01546233288381591,-0.38686816149372094,2000,-0.6491999380778566,-0.11747038047674394,0.00199900049975012,primary_n_ge_30,breast,0.01142285999857214,TRUE,TRUE,more_negative_in_tumor,113,0.4023304943775369,0.015462332883815919,-0.38686816149372094,5000,5000,0.0011997600479904018,4.895060791483849e-4,-8.723232112927692e-4,-0.2269108909376844,0.23175632587294545,joint within-patient normal/tumor label swap for both genes,0.0068557717028022965,40,TRUE,TRUE,primary_permutation_estimable,TRUE,robust_by_both
BRCA,CYP3A43,113,1,1,0.9734513274336284,0.7256637168141593,-0.01841859575365731,-0.0074577703816079,0.0109608253720494,2000,-0.2444060864450068,0.2660316038638264,0.9015492253873064,primary_n_ge_30,breast,0.9784581393513768,FALSE,FALSE,not_robust,113,-0.01841859575365731,-0.007457770381607904,0.010960825372049406,5000,5000,0.9344131173765247,0.0035006567627643564,-0.0021094766800657805,-0.2743020498754083,0.27077787090687233,joint within-patient normal/tumor label swap for both genes,0.9749844902814307,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
BRCA,CYP3A5,113,1,1,1,1,0.3618920087830196,-0.0887617273271675,-0.4506537361101871,2000,-0.6779362139873529,-0.19257239662938824,9.995002498750624e-4,primary_n_ge_30,breast,0.00666333499916708,TRUE,TRUE,more_negative_in_tumor,113,0.3618920087830196,-0.0887617273271675,-0.4506537361101871,5000,5000,0.0033993201359728054,8.230537456469962e-4,3.4932463903120103e-4,-0.2988486842105264,0.3061763923082039,joint within-patient normal/tumor label swap for both genes,0.016996600679864027,40,TRUE,TRUE,primary_permutation_estimable,TRUE,robust_by_both
BRCA,CYP3A7,113,1,1,0.9026548672566372,0.7256637168141593,0.06312829935809272,0.1461466133188086,0.08301831396071588,2000,-0.1810911881284601,0.3465547524857764,0.527736131934033,primary_n_ge_30,breast,0.7369648509078793,FALSE,FALSE,not_robust,113,0.06312829935809272,0.1461466133188086,0.08301831396071588,5000,5000,0.5124975004999001,0.007068151861844975,-0.00028941029034040833,-0.25145771734827194,0.24513069408977836,joint within-patient normal/tumor label swap for both genes,0.756991458851087,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
COAD,CYP3A4,41,1,1,1,0.975609756097561,0.03519163763066203,0.03937282229965157,0.00418118466898954,2000,-0.45515536919042704,0.4579369927567848,0.9775112443778112,primary_n_ge_30,colon,0.9795102448775612,FALSE,FALSE,not_robust,41,0.03519163763066203,0.039372822299651576,0.004181184668989549,5000,5000,0.9866026794641072,0.0016257422489737582,-0.005139372822299648,-0.4026263066202091,0.39967770034843175,joint within-patient normal/tumor label swap for both genes,0.9866026794641072,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
COAD,CYP3A43,41,1,1,0.5853658536585366,0.4634146341463415,0.2094992243598631,0.22732806074357903,0.01782883638371596,2000,-0.4537617849199838,0.4737126530618043,0.9795102448775612,primary_n_ge_30,colon,0.9795102448775612,FALSE,FALSE,not_robust,41,0.2094992243598631,0.22732806074357906,0.017828836383715962,5000,5000,0.9506098780243951,0.003064028379663882,-0.002062955609051856,-0.46273907357281124,0.46402862732812,joint within-patient normal/tumor label swap for both genes,0.9749844902814307,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
COAD,CYP3A5,41,1,1,1,1,-0.0942508710801394,-0.19442508710801396,-0.10017421602787456,2000,-0.593658898490006,0.3961915880980336,0.7246376811594203,primary_n_ge_30,colon,0.8783487044356609,FALSE,FALSE,not_robust,41,-0.0942508710801394,-0.19442508710801396,-0.10017421602787456,5000,5000,0.7134573085382924,0.006393670282582703,0.003745644599303136,-0.5025130662020907,0.5153614982578395,joint within-patient normal/tumor label swap for both genes,0.8647967376221726,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
COAD,CYP3A7,41,1,1,0.951219512195122,0.8048780487804879,-0.18633215750067225,-0.08871839301606248,0.09761376448460976,2000,-0.36645427306912254,0.5364559611902692,0.7236381809095452,primary_n_ge_30,colon,0.8783487044356609,FALSE,FALSE,not_robust,41,-0.18633215750067222,-0.08871839301606248,0.09761376448460975,5000,5000,0.6836632673465307,0.006576086363723238,-0.00392899994547255,-0.46289083820690924,0.4446996127280074,joint within-patient normal/tumor label swap for both genes,0.8545790841831634,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
ESCA,CYP3A4,13,1,1,1,1,,,,,,,,insufficient_n_lt20,esophagus,,FALSE,FALSE,not_estimable,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
ESCA,CYP3A43,13,1,1,0.9230769230769232,1,,,,,,,,insufficient_n_lt20,esophagus,,FALSE,FALSE,not_estimable,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
