figure,grob_path,label,fontsize_pt
Figure4A_round3B_denominator_aligned_recurrence_null,root/grobs/3/children/GRID.absoluteGrob.1109/children/axis/grobs/2/children/GRID.text.1107,"""0.00"" | ""0.25"" | ""0.50"" | ""0.75"" | ""1.00""",8
Figure4A_round3B_denominator_aligned_recurrence_null,root/grobs/6/children/panel-1.gTree.1100/children/GRID.text.1075,"""q=0.073"" | ""q=0.073"" | """" | ""q=0.535"" | """"",8.109035433070867
Figure4A_round3B_denominator_aligned_recurrence_null,root/grobs/6/children/panel-1.gTree.1100/children/GRID.text.1076,"""common denominator: 10"" | ""common denominator: 7"" | """" | ""common denominator: 4"" | """"",7.53998031496063
Figure4A_round3B_denominator_aligned_recurrence_null,root/grobs/6/children/panel-1.gTree.1100/children/GRID.text.1077,"""eligible profiles: 40"" | ""eligible profiles: 89"" | """" | ""eligible profiles: 281"" | """"",7.53998031496063
Figure4A_round3B_denominator_aligned_recurrence_null,root/grobs/6/children/panel-1.gTree.1100/children/geom_label.gTree.1087/children/GRID.gTree.1082/children/GRID.titleGrob.1081/children/GRID.text.1079,"""Not evaluable\n5 eligible profiles (<20)""",8.535826771653543
Figure4A_round3B_denominator_aligned_recurrence_null,root/grobs/6/children/panel-1.gTree.1100/children/geom_label.gTree.1087/children/GRID.gTree.1085/children/GRID.titleGrob.1084/children/GRID.text.1083,"""Not evaluable\n2 target contexts (<4)""",8.535826771653543
Figure4A_round3B_denominator_aligned_recurrence_null,root/grobs/7/children/GRID.absoluteGrob.1105/children/axis/grobs/2/children/GRID.text.1102,"""MAOB"" | ""CYP3A4"" | ""CYP3A5"" | ""CYP3A7"" | ""CYP3A43""",8
Figure4A_round3B_denominator_aligned_recurrence_null,root/grobs/13/children/axis.title.y.left..titleGrob.1113/children/GRID.text.1110,"""Fraction of cancers with loss""",9
Figure4A_round3B_denominator_aligned_recurrence_null,root/grobs/20/children/plot.subtitle..titleGrob.1120/children/GRID.text.1118,"""Grey distributions show complete background-gene profiles evaluated on the same cancer set as each target at\nthe 80% setting; diamonds show targets.""",8
Figure4A_round3B_denominator_aligned_recurrence_null,root/grobs/21/children/plot.title..titleGrob.1117/children/GRID.text.1114,"""Denominator-aligned cross-cancer recurrence null""",10.5
Figure4A_round3B_denominator_aligned_recurrence_null,root/grobs/22/children/plot.caption..titleGrob.1124/children/GRID.text.1121,"""Not evaluable is distinct from evidence of no change.""",7.5
Figure4A_round3B_denominator_aligned_recurrence_null,root/children/panel.9-7-9-7/children/panel-1.gTree.1100/children/GRID.text.1075,"""q=0.073"" | ""q=0.073"" | """" | ""q=0.535"" | """"",8.109035433070867
Figure4A_round3B_denominator_aligned_recurrence_null,root/children/panel.9-7-9-7/children/panel-1.gTree.1100/children/GRID.text.1076,"""common denominator: 10"" | ""common denominator: 7"" | """" | ""common denominator: 4"" | """"",7.53998031496063
Figure4A_round3B_denominator_aligned_recurrence_null,root/children/panel.9-7-9-7/children/panel-1.gTree.1100/children/GRID.text.1077,"""eligible profiles: 40"" | ""eligible profiles: 89"" | """" | ""eligible profiles: 281"" | """"",7.53998031496063
Figure4A_round3B_denominator_aligned_recurrence_null,root/children/panel.9-7-9-7/children/panel-1.gTree.1100/children/geom_label.gTree.1087/children/GRID.gTree.1082/children/GRID.titleGrob.1081/children/GRID.text.1079,"""Not evaluable\n5 eligible profiles (<20)""",8.535826771653543
Figure4A_round3B_denominator_aligned_recurrence_null,root/children/panel.9-7-9-7/children/panel-1.gTree.1100/children/geom_label.gTree.1087/children/GRID.gTree.1085/children/GRID.titleGrob.1084/children/GRID.text.1083,"""Not evaluable\n2 target contexts (<4)""",8.535826771653543
Figure4A_round3B_denominator_aligned_recurrence_null,root/children/axis-l.9-6-9-6/children/GRID.absoluteGrob.1109/children/axis/grobs/2/children/GRID.titleGrob.1108/children/GRID.text.1107,"""0.00"" | ""0.25"" | ""0.50"" | ""0.75"" | ""1.00""",8
Figure4A_round3B_denominator_aligned_recurrence_null,root/children/axis-l.9-6-9-6/children/GRID.absoluteGrob.1109/children/axis/children/axis.1-3-1-3/children/GRID.titleGrob.1108/children/GRID.text.1107,"""0.00"" | ""0.25"" | ""0.50"" | ""0.75"" | ""1.00""",8
Figure4A_round3B_denominator_aligned_recurrence_null,root/children/axis-b.10-7-10-7/children/GRID.absoluteGrob.1105/children/axis/grobs/2/children/GRID.titleGrob.1104/children/GRID.text.1102,"""MAOB"" | ""CYP3A4"" | ""CYP3A5"" | ""CYP3A7"" | ""CYP3A43""",8
Figure4A_round3B_denominator_aligned_recurrence_null,root/children/axis-b.10-7-10-7/children/GRID.absoluteGrob.1105/children/axis/children/axis.4-1-4-1/children/GRID.titleGrob.1104/children/GRID.text.1102,"""MAOB"" | ""CYP3A4"" | ""CYP3A5"" | ""CYP3A7"" | ""CYP3A43""",8
Figure4A_round3B_denominator_aligned_recurrence_null,root/children/ylab-l.9-5-9-5/children/axis.title.y.left..titleGrob.1113/children/GRID.text.1110,"""Fraction of cancers with loss""",9
Figure4A_round3B_denominator_aligned_recurrence_null,root/children/subtitle.4-11-4-3/children/plot.subtitle..titleGrob.1120/children/GRID.text.1118,"""Grey distributions show complete background-gene profiles evaluated on the same cancer set as each target at\nthe 80% setting; diamonds show targets.""",8
