tcga_code,gene,target_gene_id,target_logFC,target_q_value_global,target_baseline_tpm,target_tau,target_breadth_1tpm,target_organ_specificity_log2,target_mean_normal_logcpm,n_background,background_median_baseline_log2_tpm1,background_median_tau,background_median_breadth_1tpm,background_median_organ_specificity_log2,background_median_normal_logcpm,background_median_logFC,background_mean_logFC,excess_logFC_vs_background,background_percentile,empirical_p_lower,empirical_p_upper,empirical_p_directional,empirical_p_two_sided,median_matching_distance,maximum_matching_distance,matching_status,q_empirical_directional,selective_disruption_candidate,selective_direction,organ,selective_disruption_candidate_directional_legacy,selective_direction_directional_legacy,q_empirical_two_sided,matched_background_primary_inference
BRCA,MAOB,ENSG00000069535,-2.1583680889801524,1.8261830203645057e-15,70.224,0.7595819301901545,0.9444444444444444,0.361452007046552,7.420691803259547,1000,5.691069722887432,0.7178899423514282,1,0.30237158840100076,6.661219925255802,0.1078608219190438,0.01969946964356479,-2.2662289108991964,0.013,0.01398601398601398,0.987012987012987,0.01398601398601398,0.02797202797202797,0.8432096226545315,1.0288761185998052,estimable:within_caliper,0.08623548922056384,FALSE,not_selective_after_two_sided_matching,breast,FALSE,not_selective_after_matching,0.1724709784411277,two_sided_empirical_P_with_BH_across_estimable_cells
BRCA,CYP3A4,ENSG00000160868,-2.1904094810539343,1.281799192095636e-17,0.240634,0.9964085738630708,0.12962962962962962,0.48202732989960634,-1.649414990232826,1000,0.27950694571487644,0.9729302898013814,0.10185185185185185,0.2610869506020646,-1.3645344891130031,0.15867371929287163,0.25810959343621637,-2.349083200346806,0.043,0.04395604395604396,0.957042957042957,0.04395604395604396,0.08791208791208792,0.7286796365472972,1.0378564451150312,estimable:within_caliper,0.15584415584415584,FALSE,not_selective_after_two_sided_matching,breast,FALSE,not_selective_after_matching,0.3116883116883117,two_sided_empirical_P_with_BH_across_estimable_cells
BRCA,CYP3A5,ENSG00000106258,-0.2904503092437013,1.9223618166368217e-5,5.13068,0.9437232781882396,0.5370370370370371,1.6661203257642114,2.521356275977924,1000,2.1314161224014176,0.9166305931642356,0.6111111111111112,1.2051455802322344,2.5528328001590013,-0.26755088103570623,-0.4601368077311987,-0.02289942820799506,0.494,0.4945054945054945,0.5064935064935064,0.4945054945054945,0.989010989010989,1.3088789140289778,1.6408581274676817,estimable:within_caliper,0.5741023682200153,FALSE,not_selective_after_two_sided_matching,breast,FALSE,not_selective_after_matching,1,two_sided_empirical_P_with_BH_across_estimable_cells
BRCA,CYP3A7,,,,,,,,,,,,,,,,,,,,,,,,,target_not_estimable,,FALSE,not_estimable,breast,FALSE,not_estimable,,two_sided_empirical_P_with_BH_across_estimable_cells
BRCA,CYP3A43,,,,,,,,,,,,,,,,,,,,,,,,,target_not_estimable,,FALSE,not_estimable,breast,FALSE,not_estimable,,two_sided_empirical_P_with_BH_across_estimable_cells
COAD,MAOB,ENSG00000069535,-2.70789628870493,2.2821321043337606e-11,53.3664,0.7595819301901545,0.9444444444444444,-0.03393258521054223,4.7025312013267255,1000,5.05106534285335,0.7367954902016018,1,0.0470011365883151,5.290240438773841,0.20034145429888808,0.16974551329648677,-2.908237743003818,0.006,0.00699300699300699,0.994005994005994,0.00699300699300699,0.01398601398601398,0.7860672335457193,0.926197800372792,estimable:within_caliper,0.08623548922056384,FALSE,not_selective_after_two_sided_matching,colon,FALSE,not_selective_after_matching,0.1724709784411277,two_sided_empirical_P_with_BH_across_estimable_cells
COAD,CYP3A4,ENSG00000160868,-2.9215306840079713,2.02226403759278e-6,0.230075,0.9964085738630708,0.12962962962962962,0.4365987591650339,0.9983408190643468,1000,0.43123403969140434,0.959530496662952,0.16666666666666666,0.33150254957548586,-0.02809182249115886,-0.3198361450903788,-0.2855066831191122,-2.6016945389175925,0.056,0.05694305694305694,0.944055944055944,0.05694305694305694,0.11388611388611387,0.9953921052413104,1.3381808666045154,estimable:within_caliper,0.17082917082917082,FALSE,not_selective_after_two_sided_matching,colon,FALSE,not_selective_after_matching,0.34165834165834164,two_sided_empirical_P_with_BH_across_estimable_cells
COAD,CYP3A5,ENSG00000106258,-0.19820252968770224,0.3108965890552016,15.347895,0.9437232781882396,0.5370370370370371,3.228460171807265,5.720869585517818,458,3.396665095918504,0.9147376515623474,0.5740740740740741,2.6344837277022304,4.869090475475468,-1.0935870277633746,-1.2245851278288515,0.8953844980756723,0.7358078602620087,0.7363834422657952,0.2657952069716776,0.7363834422657952,0.5315904139433552,1.5965959322794203,1.9996674758706856,estimable:within_caliper,0.7363834422657952,FALSE,not_selective_after_two_sided_matching,colon,FALSE,not_selective_after_matching,0.7264348554671135,two_sided_empirical_P_with_BH_across_estimable_cells
COAD,CYP3A7,,,,,,,,,,,,,,,,,,,,,,,,,target_not_estimable,,FALSE,not_estimable,colon,FALSE,not_estimable,,two_sided_empirical_P_with_BH_across_estimable_cells
COAD,CYP3A43,,,,,,,,,,,,,,,,,,,,,,,,,target_not_estimable,,FALSE,not_estimable,colon,FALSE,not_estimable,,two_sided_empirical_P_with_BH_across_estimable_cells
ESCA,MAOB,ENSG00000069535,-1.447021388863092,0.01533395595629661,90.278,0.7595819301901545,0.9444444444444444,0.7234065058955776,5.35743089173555,1000,5.668773995329746,0.7322640040064483,1,0.4923892927720117,5.610582838222637,-0.0794404979032816,-0.13280130393103468,-1.3675808909598104,0.047,0.04795204795204795,0.9530469530469532,0.04795204795204795,0.0959040959040959,0.9792935534858516,1.1547894967257832,estimable:within_caliper,0.15584415584415584,FALSE,not_selective_after_two_sided_matching,esophagus,FALSE,not_selective_after_matching,0.3116883116883117,two_sided_empirical_P_with_BH_across_estimable_cells
ESCA,CYP3A4,ENSG00000160868,-0.41440373079989606,0.5029313538733636,0.1491,0.9964085738630708,0.12962962962962962,0.03052990829016817,-1.8321306074912953,1000,0.14098407949806266,0.9731927047650534,0.0925925925925926,-0.06110655897249888,-1.5983621792591285,0.34747596896750643,0.4985570048260621,-0.7618796997674024,0.242,0.24275724275724275,0.7582417582417582,0.24275724275724275,0.4855144855144855,0.6468920897230712,0.994063540042534,estimable:within_caliper,0.3641358641358642,FALSE,not_selective_after_two_sided_matching,esophagus,FALSE,not_selective_after_matching,0.7264348554671135,two_sided_empirical_P_with_BH_across_estimable_cells
ESCA,CYP3A5,ENSG00000106258,-0.39199569808975593,0.38100015054232966,2.02717,0.9437232781882396,0.5370370370370371,0.3680571493148366,6.058661862789322,1000,1.791155208164524,0.8977630214858932,0.7222222222222222,0.05516943060616894,3.72417335461366,0.16515138416491515,-0.04383221031689651,-0.5571470822546711,0.306,0.3066933066933067,0.6943056943056943,0.3066933066933067,0.6133866133866134,1.6742321315752284,1.8742074380073659,estimable:within_caliper,0.4124496193461711,FALSE,not_selective_after_two_sided_matching,esophagus,FALSE,not_selective_after_matching,0.747564935064935,two_sided_empirical_P_with_BH_across_estimable_cells
ESCA,CYP3A7,,,,,,,,,,,,,,,,,,,,,,,,,target_not_estimable,,FALSE,not_estimable,esophagus,FALSE,not_estimable,,two_sided_empirical_P_with_BH_across_estimable_cells
ESCA,CYP3A43,,,,,,,,,,,,,,,,,,,,,,,,,target_not_estimable,,FALSE,not_estimable,esophagus,FALSE,not_estimable,,two_sided_empirical_P_with_BH_across_estimable_cells
KICH,MAOB,ENSG00000069535,-4.277630302455459,1.0040206866003845e-6,37.6169,0.7595819301901545,0.9444444444444444,-0.537354021720432,6.669999332965542,1000,4.869458834706701,0.7303237777172229,1,-0.5777847247428665,6.33396088306679,0.05911510406923553,-0.02946481155801439,-4.336745406524694,0.002,0.00299700299700299,0.998001998001998,0.00299700299700299,0.00599400599400599,0.7691059666974774,0.9576656843545432,estimable:within_caliper,0.08623548922056384,FALSE,not_selective_after_two_sided_matching,kidney,FALSE,not_selective_after_matching,0.1724709784411277,two_sided_empirical_P_with_BH_across_estimable_cells
KICH,CYP3A4,ENSG00000160868,1.782107097062945,0.03165345117844219,0.213872,0.9964085738630708,0.12962962962962962,0.3639812209423825,-0.7046785893970207,1000,0.26508877133010744,0.9675455884555584,0.12962962962962962,-0.02763508795553165,-0.9725325043484708,-0.3788663774739123,-0.5442376768601186,2.160973474536857,0.87,0.8701298701298701,0.13086913086913088,0.13086913086913088,0.26173826173826176,0.7999255460483188,1.1376385851773587,estimable:within_caliper,0.26,FALSE,not_selective_after_two_sided_matching,kidney,FALSE,not_selective_after_matching,0.52,two_sided_empirical_P_with_BH_across_estimable_cells
