target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,background_gene_id,background_gene_symbol,endpoint,pseudo_target_statistic,empirical_p_plus1_leave_one_out,randomized_tie_rank_p,p_value_direction,n_reference_profiles_including_pseudo_target,calibration_note
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000005471,ABCB4,recurrent_loss,0.25,0.6520618556701031,0.6152617568006143,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000005981,ASB4,recurrent_loss,1,0.059278350515463915,0.04172895706952406,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000011590,ZBTB32,recurrent_loss,0,1,0.9722407412740459,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000013293,SLC7A14,recurrent_loss,1,0.059278350515463915,0.0552126045912485,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000015520,NPC1L1,recurrent_loss,0.25,0.6520618556701031,0.46254886255345123,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000039600,SOX30,recurrent_loss,0.75,0.20103092783505155,0.18865264858750472,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000042781,USH2A,recurrent_loss,0.5,0.42010309278350516,0.3168304925310406,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000042832,TG,recurrent_loss,0.5,0.42010309278350516,0.30632109995319307,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000049249,TNFRSF9,recurrent_loss,0,1,0.7534937369091119,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000051180,RAD51,recurrent_loss,0,1,0.7050368652430593,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000051341,POLQ,recurrent_loss,0,1,0.8012285890596554,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000054938,CHRDL2,recurrent_loss,0.5,0.42010309278350516,0.27780638745933117,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000057593,F7,recurrent_loss,0.5,0.42010309278350516,0.2563194124995414,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000066405,CLDN18,recurrent_loss,0.5,0.42010309278350516,0.3686994277726926,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
