target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,endpoint,n_pseudo_targets,mean_p_plus1,fraction_p_plus1_le_005,ks_D_plus1_descriptive,ks_p_plus1_descriptive,mean_p_randomized,fraction_p_randomized_le_005,ks_D_randomized_primary,ks_p_randomized_primary,ks_interpretation
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,negative_median,332,0.5015060240963856,0.04819277108433735,0.003012048192771122,1,0.4999761773063475,0.04819277108433735,0.0030117286397256526,1,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,recurrent_gain,332,0.6514098562926405,0.018072289156626505,0.4457831325301205,9.88753967075832e-58,0.5008656541621845,0.045180722891566265,0.019940763608137336,0.9993971421112509,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,recurrent_loss,332,0.7569131949484685,0.03614457831325301,0.6897590361445782,1.2682859795740676e-137,0.5001098986644826,0.05120481927710843,0.03339000280556572,0.8529755952066892,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
MAOB,0.6,8,BRCA;COAD;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,negative_median,138,0.5036231884057971,0.043478260869565216,0.007246376811594235,1,0.49999667834681993,0.050724637681159424,0.007205397196019647,1,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
MAOB,0.6,8,BRCA;COAD;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,recurrent_gain,138,0.6283868935097668,0.007246376811594203,0.42028985507246375,1.3415302567275019e-21,0.5109626040944456,0.043478260869565216,0.055288201447684204,0.7928034989993781,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
MAOB,0.6,8,BRCA;COAD;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,recurrent_loss,138,0.793635790800252,0.028985507246376812,0.7536231884057971,1.6741579387737417e-68,0.49828643663059397,0.057971014492753624,0.04199281201252477,0.9680669556458187,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
MAOB,0.7,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,negative_median,80,0.50625,0.05,0.012500000000000067,1,0.49957870938549603,0.05,0.012486077618086733,1,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
MAOB,0.7,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,recurrent_gain,80,0.655,0.0125,0.5,8.496708510583118e-18,0.5140575921212803,0.0375,0.06872603688389067,0.844234311791485,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
MAOB,0.7,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,recurrent_loss,80,0.74546875,0.05,0.675,4.3748409128416627e-32,0.5101633130239134,0.05,0.05257677460322152,0.9798646769285603,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
MAOB,0.8,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,negative_median,40,0.5125,0.05,0.025000000000000022,1,0.5010859419686312,0.05,0.02480243138852528,1,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
MAOB,0.8,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,recurrent_gain,40,0.665,0.05,0.525,5.306848257285601e-10,0.4880084701257874,0.05,0.10531282486044799,0.76673802423662,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
MAOB,0.8,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,recurrent_loss,40,0.75625,0.05,0.7,1.8909772547773083e-17,0.5109935168095399,0.05,0.07234549673739821,0.98488500190774,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,negative_median,388,0.5012886597938144,0.04896907216494845,0.002577319587628968,1,0.49997314917915375,0.04896907216494845,0.0025765901310225714,1,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
